id,Geography,oneBedMedianRent,twoBedMedianRent
18047,"Franklin County, Indiana",476,658
18049,"Fulton County, Indiana",553,643
18051,"Gibson County, Indiana",515,643
18053,"Grant County, Indiana",500,640
18055,"Greene County, Indiana",336,582
18057,"Hamilton County, Indiana",908,1047
18059,"Hancock County, Indiana",701,788
18061,"Harrison County, Indiana",540,695
18063,"Hendricks County, Indiana",770,905
18065,"Henry County, Indiana",486,652
18067,"Howard County, Indiana",505,648
18069,"Huntington County, Indiana",520,659
18071,"Jackson County, Indiana",528,727
18073,"Jasper County, Indiana",569,708
18075,"Jay County, Indiana",389,612
18077,"Jefferson County, Indiana",504,701
18079,"Jennings County, Indiana",509,708
18081,"Johnson County, Indiana",693,852
18083,"Knox County, Indiana",492,682
18085,"Kosciusko County, Indiana",577,710
18087,"LaGrange County, Indiana",447,620
18089,"Lake County, Indiana",655,846
18091,"LaPorte County, Indiana",551,720
18093,"Lawrence County, Indiana",434,663
18095,"Madison County, Indiana",534,700
18097,"Marion County, Indiana",663,824
18099,"Marshall County, Indiana",524,659
18101,"Martin County, Indiana",386,500
18103,"Miami County, Indiana",464,601
18105,"Monroe County, Indiana",686,853
18107,"Montgomery County, Indiana",509,695
18109,"Morgan County, Indiana",505,734
18111,"Newton County, Indiana",299,626
18113,"Noble County, Indiana",508,650
18115,"Ohio County, Indiana",439,708
18117,"Orange County, Indiana",351,565
18119,"Owen County, Indiana",448,642
18121,"Parke County, Indiana",363,673
18123,"Perry County, Indiana",421,603
18125,"Pike County, Indiana",338,613
18127,"Porter County, Indiana",722,860
18129,"Posey County, Indiana",458,693
18131,"Pulaski County, Indiana",540,617
18133,"Putnam County, Indiana",477,674
18135,"Randolph County, Indiana",447,596
18137,"Ripley County, Indiana",513,665
18139,"Rush County, Indiana",472,656
18141,"St. Joseph County, Indiana",583,756
18143,"Scott County, Indiana",443,732
18145,"Shelby County, Indiana",512,734
18147,"Spencer County, Indiana",384,591
18149,"Starke County, Indiana",438,626
18151,"Steuben County, Indiana",441,707
18153,"Sullivan County, Indiana",447,712
18155,"Switzerland County, Indiana",440,709
18157,"Tippecanoe County, Indiana",693,799
18159,"Tipton County, Indiana",580,720
18161,"Union County, Indiana",444,660
18163,"Vanderburgh County, Indiana",600,795
18165,"Vermillion County, Indiana",435,650
18167,"Vigo County, Indiana",568,725
18169,"Wabash County, Indiana",511,660
18171,"Warren County, Indiana",456,694
18173,"Warrick County, Indiana",590,734
18175,"Washington County, Indiana",422,618
18177,"Wayne County, Indiana",457,650
18179,"Wells County, Indiana",473,652
18181,"White County, Indiana",453,661
18183,"Whitley County, Indiana",446,688
19001,"Adair County, Iowa",350,512
19003,"Adams County, Iowa",377,493
19005,"Allamakee County, Iowa",402,531
19007,"Appanoose County, Iowa",387,612
19009,"Audubon County, Iowa",374,542
19011,"Benton County, Iowa",430,602
19013,"Black Hawk County, Iowa",571,732
19015,"Boone County, Iowa",538,673
19017,"Bremer County, Iowa",437,618
19019,"Buchanan County, Iowa",406,608
19021,"Buena Vista County, Iowa",437,595
19023,"Butler County, Iowa",422,581
19025,"Calhoun County, Iowa",489,498
19027,"Carroll County, Iowa",393,561
19029,"Cass County, Iowa",463,556
19031,"Cedar County, Iowa",470,699
19033,"Cerro Gordo County, Iowa",469,687
19035,"Cherokee County, Iowa",375,532
19037,"Chickasaw County, Iowa",436,490
19039,"Clarke County, Iowa",477,700
19041,"Clay County, Iowa",417,620
19043,"Clayton County, Iowa",414,613
19045,"Clinton County, Iowa",500,702
19047,"Crawford County, Iowa",325,605
19049,"Dallas County, Iowa",717,897
19051,"Davis County, Iowa",467,627
19053,"Decatur County, Iowa",385,544
19055,"Delaware County, Iowa",405,552
19057,"Des Moines County, Iowa",493,689
19059,"Dickinson County, Iowa",576,703
19061,"Dubuque County, Iowa",544,740
19063,"Emmet County, Iowa",421,548
19065,"Fayette County, Iowa",434,620
19067,"Floyd County, Iowa",388,542
19069,"Franklin County, Iowa",457,565
19071,"Fremont County, Iowa",375,577
19073,"Greene County, Iowa",411,575
19075,"Grundy County, Iowa",403,625
19077,"Guthrie County, Iowa",508,582
19079,"Hamilton County, Iowa",510,654
19081,"Hancock County, Iowa",488,560
19083,"Hardin County, Iowa",385,586
19085,"Harrison County, Iowa",383,689
19087,"Henry County, Iowa",502,625
19089,"Howard County, Iowa",526,559
19091,"Humboldt County, Iowa",379,626
19093,"Ida County, Iowa",330,403
19095,"Iowa County, Iowa",398,533
19097,"Jackson County, Iowa",393,578
19099,"Jasper County, Iowa",468,663
19101,"Jefferson County, Iowa",397,669
19103,"Johnson County, Iowa",659,884
19105,"Jones County, Iowa",413,580
19107,"Keokuk County, Iowa",420,584
19109,"Kossuth County, Iowa",474,629
19111,"Lee County, Iowa",473,620
19113,"Linn County, Iowa",528,742
19115,"Louisa County, Iowa",405,625
19117,"Lucas County, Iowa",330,701
19119,"Lyon County, Iowa",336,572
19121,"Madison County, Iowa",470,793
19123,"Mahaska County, Iowa",480,624
19125,"Marion County, Iowa",516,674
19127,"Marshall County, Iowa",542,690
19129,"Mills County, Iowa",440,711
19131,"Mitchell County, Iowa",338,597
19133,"Monona County, Iowa",347,586
19135,"Monroe County, Iowa",391,636
19137,"Montgomery County, Iowa",403,590
19139,"Muscatine County, Iowa",497,807
19141,"O'Brien County, Iowa",426,570
19143,"Osceola County, Iowa",412,578
19145,"Page County, Iowa",376,575
19147,"Palo Alto County, Iowa",432,529
19149,"Plymouth County, Iowa",452,588
19151,"Pocahontas County, Iowa",393,559
19153,"Polk County, Iowa",679,849
19155,"Pottawattamie County, Iowa",624,804
19157,"Poweshiek County, Iowa",485,651
19159,"Ringgold County, Iowa",393,524
19161,"Sac County, Iowa",407,518
19163,"Scott County, Iowa",604,751
19165,"Shelby County, Iowa",346,619
19167,"Sioux County, Iowa",481,628
19169,"Story County, Iowa",661,805
19171,"Tama County, Iowa",447,642
19173,"Taylor County, Iowa",390,561
19175,"Union County, Iowa",474,547
19177,"Van Buren County, Iowa",313,480
19179,"Wapello County, Iowa",484,664
19181,"Warren County, Iowa",514,736
19183,"Washington County, Iowa",488,718
19185,"Wayne County, Iowa",349,503
19187,"Webster County, Iowa",465,607
19189,"Winnebago County, Iowa",363,519
19191,"Winneshiek County, Iowa",465,599
19193,"Woodbury County, Iowa",491,728
19195,"Worth County, Iowa",416,500
19197,"Wright County, Iowa",426,613
20001,"Allen County, Kansas",353,597
20003,"Anderson County, Kansas",528,549
20005,"Atchison County, Kansas",429,635
20007,"Barber County, Kansas",290,707
20009,"Barton County, Kansas",439,611
20011,"Bourbon County, Kansas",428,586
20013,"Brown County, Kansas",381,561
20015,"Butler County, Kansas",534,711
20017,"Chase County, Kansas",325,520
20019,"Chautauqua County, Kansas",366,662
20021,"Cherokee County, Kansas",406,661
20023,"Cheyenne County, Kansas",608,475
20025,"Clark County, Kansas",419,734
20027,"Clay County, Kansas",538,750
20029,"Cloud County, Kansas",406,616
20031,"Coffey County, Kansas",388,588
20033,"Comanche County, Kansas",333,538
20035,"Cowley County, Kansas",471,641
20037,"Crawford County, Kansas",454,679
20039,"Decatur County, Kansas",331,569
20041,"Dickinson County, Kansas",416,631
20043,"Doniphan County, Kansas",363,558
20045,"Douglas County, Kansas",669,827
20047,"Edwards County, Kansas",356,526
20049,"Elk County, Kansas",335,469
20051,"Ellis County, Kansas",484,660
20053,"Ellsworth County, Kansas",456,622
20055,"Finney County, Kansas",534,719
20057,"Ford County, Kansas",517,702
20059,"Franklin County, Kansas",413,744
20061,"Geary County, Kansas",748,935
20063,"Gove County, Kansas",455,566
20065,"Graham County, Kansas",425,454
20067,"Grant County, Kansas",-,656
20069,"Gray County, Kansas",454,642
20071,"Greeley County, Kansas",516,-
20073,"Greenwood County, Kansas",400,525
20075,"Hamilton County, Kansas",377,575
20077,"Harper County, Kansas",357,646
20079,"Harvey County, Kansas",534,686
20081,"Haskell County, Kansas",525,598
20083,"Hodgeman County, Kansas",520,643
20085,"Jackson County, Kansas",350,660
20087,"Jefferson County, Kansas",421,613
20089,"Jewell County, Kansas",412,488
20091,"Johnson County, Kansas",804,998
20093,"Kearny County, Kansas",333,584
20095,"Kingman County, Kansas",488,593
20097,"Kiowa County, Kansas",242,600
20099,"Labette County, Kansas",397,625
20101,"Lane County, Kansas",261,525
20103,"Leavenworth County, Kansas",559,741
20105,"Lincoln County, Kansas",375,473
20107,"Linn County, Kansas",479,628
20109,"Logan County, Kansas",434,445
20111,"Lyon County, Kansas",423,605
20113,"McPherson County, Kansas",448,705
20115,"Marion County, Kansas",409,581
20117,"Marshall County, Kansas",358,580
20119,"Meade County, Kansas",427,578
20121,"Miami County, Kansas",533,695
20123,"Mitchell County, Kansas",327,664
20125,"Montgomery County, Kansas",410,616
20127,"Morris County, Kansas",387,581
20129,"Morton County, Kansas",378,576
20131,"Nemaha County, Kansas",453,564
20133,"Neosho County, Kansas",423,566
20135,"Ness County, Kansas",542,537
20137,"Norton County, Kansas",-,576
20139,"Osage County, Kansas",433,638
20141,"Osborne County, Kansas",415,520
20143,"Ottawa County, Kansas",395,670
20145,"Pawnee County, Kansas",385,443
20147,"Phillips County, Kansas",364,529
20149,"Pottawatomie County, Kansas",571,704
20151,"Pratt County, Kansas",513,704
20153,"Rawlins County, Kansas",379,605
20155,"Reno County, Kansas",500,698
20157,"Republic County, Kansas",360,505
20159,"Rice County, Kansas",347,504
20161,"Riley County, Kansas",680,871
20163,"Rooks County, Kansas",467,532
20165,"Rush County, Kansas",435,525
20167,"Russell County, Kansas",342,605
20169,"Saline County, Kansas",531,724
20171,"Scott County, Kansas",967,752
20173,"Sedgwick County, Kansas",572,756
20175,"Seward County, Kansas",571,683
20177,"Shawnee County, Kansas",548,747
20179,"Sheridan County, Kansas",357,468
20181,"Sherman County, Kansas",372,685
20183,"Smith County, Kansas",289,470
20185,"Stafford County, Kansas",334,678
20187,"Stanton County, Kansas",300,529
20189,"Stevens County, Kansas",-,664
20191,"Sumner County, Kansas",433,641
20193,"Thomas County, Kansas",377,499
20195,"Trego County, Kansas",438,596
20197,"Wabaunsee County, Kansas",454,688
20199,"Wallace County, Kansas",381,475
20201,"Washington County, Kansas",334,445
20203,"Wichita County, Kansas",-,378
20205,"Wilson County, Kansas",421,528
20207,"Woodson County, Kansas",363,584
20209,"Wyandotte County, Kansas",591,809
21001,"Adair County, Kentucky",245,497
21003,"Allen County, Kentucky",364,538
21005,"Anderson County, Kentucky",577,655
21007,"Ballard County, Kentucky",260,603
21009,"Barren County, Kentucky",437,587
21011,"Bath County, Kentucky",412,597
21013,"Bell County, Kentucky",366,482
21015,"Boone County, Kentucky",679,884
21017,"Bourbon County, Kentucky",402,670
21019,"Boyd County, Kentucky",440,632
21021,"Boyle County, Kentucky",496,639
21023,"Bracken County, Kentucky",436,578
21025,"Breathitt County, Kentucky",261,461
21027,"Breckinridge County, Kentucky",292,533
21029,"Bullitt County, Kentucky",562,717
21031,"Butler County, Kentucky",347,506
21033,"Caldwell County, Kentucky",459,537
21035,"Calloway County, Kentucky",476,671
21037,"Campbell County, Kentucky",643,825
21039,"Carlisle County, Kentucky",415,597
21041,"Carroll County, Kentucky",484,632
21043,"Carter County, Kentucky",350,554
21045,"Casey County, Kentucky",393,462
21047,"Christian County, Kentucky",512,706
21049,"Clark County, Kentucky",448,684
21051,"Clay County, Kentucky",385,461
21053,"Clinton County, Kentucky",267,502
21055,"Crittenden County, Kentucky",425,483
21057,"Cumberland County, Kentucky",252,417
21059,"Daviess County, Kentucky",499,681
21061,"Edmonson County, Kentucky",325,564
21063,"Elliott County, Kentucky",232,539
21065,"Estill County, Kentucky",276,548
21067,"Fayette County, Kentucky",625,802
21069,"Fleming County, Kentucky",309,507
21071,"Floyd County, Kentucky",306,546
21073,"Franklin County, Kentucky",576,716
21075,"Fulton County, Kentucky",301,520
21077,"Gallatin County, Kentucky",434,699
21079,"Garrard County, Kentucky",244,609
21081,"Grant County, Kentucky",601,679
21083,"Graves County, Kentucky",381,566
21085,"Grayson County, Kentucky",397,495
21087,"Green County, Kentucky",280,534
21089,"Greenup County, Kentucky",465,604
21091,"Hancock County, Kentucky",416,542
21093,"Hardin County, Kentucky",500,712
21095,"Harlan County, Kentucky",352,459
21097,"Harrison County, Kentucky",319,576
21099,"Hart County, Kentucky",299,454
21101,"Henderson County, Kentucky",513,658
21103,"Henry County, Kentucky",332,662
21105,"Hickman County, Kentucky",244,465
21107,"Hopkins County, Kentucky",417,593
21109,"Jackson County, Kentucky",247,490
21111,"Jefferson County, Kentucky",624,781
21113,"Jessamine County, Kentucky",474,648
21115,"Johnson County, Kentucky",268,513
21117,"Kenton County, Kentucky",603,787
21119,"Knott County, Kentucky",237,472
21121,"Knox County, Kentucky",337,477
21123,"Larue County, Kentucky",253,591
21125,"Laurel County, Kentucky",444,590
21127,"Lawrence County, Kentucky",361,511
21129,"Lee County, Kentucky",356,505
21131,"Leslie County, Kentucky",200,418
21133,"Letcher County, Kentucky",451,540
21135,"Lewis County, Kentucky",285,503
21137,"Lincoln County, Kentucky",374,544
21139,"Livingston County, Kentucky",420,570
21141,"Logan County, Kentucky",412,576
21143,"Lyon County, Kentucky",365,488
21145,"McCracken County, Kentucky",452,682
21147,"McCreary County, Kentucky",455,589
21149,"McLean County, Kentucky",281,474
21151,"Madison County, Kentucky",471,643
21153,"Magoffin County, Kentucky",413,528
21155,"Marion County, Kentucky",520,573
21157,"Marshall County, Kentucky",509,636
21159,"Martin County, Kentucky",237,592
21161,"Mason County, Kentucky",412,560
21163,"Meade County, Kentucky",480,623
21165,"Menifee County, Kentucky",240,534
21167,"Mercer County, Kentucky",410,594
21169,"Metcalfe County, Kentucky",406,457
21171,"Monroe County, Kentucky",281,542
21173,"Montgomery County, Kentucky",286,638
21175,"Morgan County, Kentucky",438,448
21177,"Muhlenberg County, Kentucky",404,543
21179,"Nelson County, Kentucky",402,634
21181,"Nicholas County, Kentucky",216,522
21183,"Ohio County, Kentucky",426,444
21185,"Oldham County, Kentucky",533,716
21187,"Owen County, Kentucky",409,603
21189,"Owsley County, Kentucky",214,342
21191,"Pendleton County, Kentucky",402,594
21193,"Perry County, Kentucky",508,538
21195,"Pike County, Kentucky",374,644
21197,"Powell County, Kentucky",424,529
21199,"Pulaski County, Kentucky",429,583
21201,"Robertson County, Kentucky",343,622
21203,"Rockcastle County, Kentucky",283,498
21205,"Rowan County, Kentucky",509,629
21207,"Russell County, Kentucky",371,485
21209,"Scott County, Kentucky",482,742
21211,"Shelby County, Kentucky",449,770
21213,"Simpson County, Kentucky",476,666
21215,"Spencer County, Kentucky",456,569
21217,"Taylor County, Kentucky",452,561
21219,"Todd County, Kentucky",330,573
21221,"Trigg County, Kentucky",-,567
21223,"Trimble County, Kentucky",434,663
21225,"Union County, Kentucky",413,522
21227,"Warren County, Kentucky",545,703
21229,"Washington County, Kentucky",422,598
21231,"Wayne County, Kentucky",286,470
21233,"Webster County, Kentucky",411,498
21235,"Whitley County, Kentucky",513,543
21237,"Wolfe County, Kentucky",284,454
21239,"Woodford County, Kentucky",535,673
22001,"Acadia Parish, Louisiana",334,537
22003,"Allen Parish, Louisiana",319,500
22005,"Ascension Parish, Louisiana",844,792
22007,"Assumption Parish, Louisiana",581,600
22009,"Avoyelles Parish, Louisiana",382,559
22011,"Beauregard Parish, Louisiana",459,568
22013,"Bienville Parish, Louisiana",411,435
22015,"Bossier Parish, Louisiana",716,904
22017,"Caddo Parish, Louisiana",645,752
22019,"Calcasieu Parish, Louisiana",560,763
22021,"Caldwell Parish, Louisiana",-,-
22023,"Cameron Parish, Louisiana",-,-
22025,"Catahoula Parish, Louisiana",246,459
22027,"Claiborne Parish, Louisiana",407,658
22029,"Concordia Parish, Louisiana",257,479
22031,"De Soto Parish, Louisiana",284,554
22033,"East Baton Rouge Parish, Louisiana",717,850
22035,"East Carroll Parish, Louisiana",276,466
22037,"East Feliciana Parish, Louisiana",378,728
22039,"Evangeline Parish, Louisiana",275,513
22041,"Franklin Parish, Louisiana",307,537
22043,"Grant Parish, Louisiana",-,658
22045,"Iberia Parish, Louisiana",496,702
22047,"Iberville Parish, Louisiana",299,645
22049,"Jackson Parish, Louisiana",382,467
22051,"Jefferson Parish, Louisiana",768,945
22053,"Jefferson Davis Parish, Louisiana",389,516
22055,"Lafayette Parish, Louisiana",691,799
22057,"Lafourche Parish, Louisiana",588,736
22059,"LaSalle Parish, Louisiana",505,559
22061,"Lincoln Parish, Louisiana",544,656
22063,"Livingston Parish, Louisiana",563,754
22065,"Madison Parish, Louisiana",314,486
22067,"Morehouse Parish, Louisiana",402,509
22069,"Natchitoches Parish, Louisiana",478,618
22071,"Orleans Parish, Louisiana",808,952
22073,"Ouachita Parish, Louisiana",520,680
22075,"Plaquemines Parish, Louisiana",549,844
22077,"Pointe Coupee Parish, Louisiana",338,594
22079,"Rapides Parish, Louisiana",556,714
22081,"Red River Parish, Louisiana",260,586
22083,"Richland Parish, Louisiana",266,523
22085,"Sabine Parish, Louisiana",311,472
22087,"St. Bernard Parish, Louisiana",679,790
22089,"St. Charles Parish, Louisiana",583,811
22091,"St. Helena Parish, Louisiana",201,651
22093,"St. James Parish, Louisiana",463,754
22095,"St. John the Baptist Parish, Louisiana",483,826
22097,"St. Landry Parish, Louisiana",316,582
22099,"St. Martin Parish, Louisiana",393,595
22101,"St. Mary Parish, Louisiana",534,688
22103,"St. Tammany Parish, Louisiana",779,908
22105,"Tangipahoa Parish, Louisiana",596,757
22107,"Tensas Parish, Louisiana",267,422
22109,"Terrebonne Parish, Louisiana",654,824
22111,"Union Parish, Louisiana",277,465
22113,"Vermilion Parish, Louisiana",496,595
22115,"Vernon Parish, Louisiana",520,904
22117,"Washington Parish, Louisiana",458,534
22119,"Webster Parish, Louisiana",427,549
22121,"West Baton Rouge Parish, Louisiana",570,769
22123,"West Carroll Parish, Louisiana",277,478
22125,"West Feliciana Parish, Louisiana",385,809
22127,"Winn Parish, Louisiana",368,536
23001,"Androscoggin County, Maine",556,771
23003,"Aroostook County, Maine",466,608
23005,"Cumberland County, Maine",802,1085
23007,"Franklin County, Maine",509,609
23009,"Hancock County, Maine",611,799
23011,"Kennebec County, Maine",580,737
23013,"Knox County, Maine",659,796
23015,"Lincoln County, Maine",657,802
23017,"Oxford County, Maine",453,670
23019,"Penobscot County, Maine",622,827
23021,"Piscataquis County, Maine",400,576
23023,"Sagadahoc County, Maine",692,853
23025,"Somerset County, Maine",531,734
23027,"Waldo County, Maine",609,749
23029,"Washington County, Maine",341,650
23031,"York County, Maine",712,959
24001,"Allegany County, Maryland",463,650
24003,"Anne Arundel County, Maryland",1178,1475
24005,"Baltimore County, Maryland",981,1201
24009,"Calvert County, Maryland",942,1263
24011,"Caroline County, Maryland",547,851
24013,"Carroll County, Maryland",773,1052
24015,"Cecil County, Maryland",793,1030
24017,"Charles County, Maryland",1035,1342
24019,"Dorchester County, Maryland",550,803
24021,"Frederick County, Maryland",1021,1237
24023,"Garrett County, Maryland",430,608
24025,"Harford County, Maryland",834,1115
24027,"Howard County, Maryland",1300,1649
24029,"Kent County, Maryland",602,901
24031,"Montgomery County, Maryland",1398,1664
24033,"Prince George's County, Maryland",1120,1356
24035,"Queen Anne's County, Maryland",577,1229
24037,"St. Mary's County, Maryland",945,1177
24039,"Somerset County, Maryland",568,684
24041,"Talbot County, Maryland",723,1058
24043,"Washington County, Maryland",612,841
24045,"Wicomico County, Maryland",721,923
24047,"Worcester County, Maryland",620,908
24510,"Baltimore city, Maryland",821,1007
25001,"Barnstable County, Massachusetts",832,1254
25003,"Berkshire County, Massachusetts",637,838
25005,"Bristol County, Massachusetts",658,854
25007,"Dukes County, Massachusetts",1095,1469
25009,"Essex County, Massachusetts",857,1179
25011,"Franklin County, Massachusetts",673,946
25013,"Hampden County, Massachusetts",633,893
25015,"Hampshire County, Massachusetts",782,1062
25017,"Middlesex County, Massachusetts",1120,1479
25019,"Nantucket County, Massachusetts",1359,1535
25021,"Norfolk County, Massachusetts",1146,1502
25023,"Plymouth County, Massachusetts",816,1223
25025,"Suffolk County, Massachusetts",1236,1396
25027,"Worcester County, Massachusetts",737,1022
26001,"Alcona County, Michigan",446,551
26003,"Alger County, Michigan",458,621
26005,"Allegan County, Michigan",546,750
26007,"Alpena County, Michigan",400,580
26009,"Antrim County, Michigan",541,644
26011,"Arenac County, Michigan",409,562
26013,"Baraga County, Michigan",396,579
26015,"Barry County, Michigan",553,765
26017,"Bay County, Michigan",468,705
26019,"Benzie County, Michigan",525,781
26021,"Berrien County, Michigan",508,703
26023,"Branch County, Michigan",507,699
26025,"Calhoun County, Michigan",565,727
26027,"Cass County, Michigan",449,664
26029,"Charlevoix County, Michigan",498,725
26031,"Cheboygan County, Michigan",395,634
26033,"Chippewa County, Michigan",504,654
26035,"Clare County, Michigan",359,601
26037,"Clinton County, Michigan",591,781
26039,"Crawford County, Michigan",472,681
26041,"Delta County, Michigan",411,569
26043,"Dickinson County, Michigan",426,704
26045,"Eaton County, Michigan",639,790
26047,"Emmet County, Michigan",571,785
26049,"Genesee County, Michigan",545,730
26051,"Gladwin County, Michigan",391,624
26053,"Gogebic County, Michigan",393,491
26055,"Grand Traverse County, Michigan",676,849
26057,"Gratiot County, Michigan",452,630
26059,"Hillsdale County, Michigan",399,657
26061,"Houghton County, Michigan",503,657
26063,"Huron County, Michigan",441,606
26065,"Ingham County, Michigan",659,839
26067,"Ionia County, Michigan",455,728
26069,"Iosco County, Michigan",505,571
26071,"Iron County, Michigan",369,594
26073,"Isabella County, Michigan",556,698
26075,"Jackson County, Michigan",608,728
26077,"Kalamazoo County, Michigan",602,772
26079,"Kalkaska County, Michigan",414,672
26081,"Kent County, Michigan",642,801
26083,"Keweenaw County, Michigan",375,525
26085,"Lake County, Michigan",469,603
26087,"Lapeer County, Michigan",563,749
26089,"Leelanau County, Michigan",575,769
26091,"Lenawee County, Michigan",527,753
26093,"Livingston County, Michigan",719,901
26095,"Luce County, Michigan",466,586
26097,"Mackinac County, Michigan",577,597
26099,"Macomb County, Michigan",693,901
26101,"Manistee County, Michigan",475,613
26103,"Marquette County, Michigan",521,720
26105,"Mason County, Michigan",532,721
26107,"Mecosta County, Michigan",492,600
26109,"Menominee County, Michigan",421,548
26111,"Midland County, Michigan",564,742
26113,"Missaukee County, Michigan",459,721
26115,"Monroe County, Michigan",587,788
26117,"Montcalm County, Michigan",510,648
26119,"Montmorency County, Michigan",415,615
26121,"Muskegon County, Michigan",498,717
26123,"Newaygo County, Michigan",426,668
26125,"Oakland County, Michigan",757,1012
26127,"Oceana County, Michigan",441,598
26129,"Ogemaw County, Michigan",530,590
26131,"Ontonagon County, Michigan",381,442
26133,"Osceola County, Michigan",401,592
26135,"Oscoda County, Michigan",324,603
26137,"Otsego County, Michigan",567,748
26139,"Ottawa County, Michigan",692,756
26141,"Presque Isle County, Michigan",345,560
26143,"Roscommon County, Michigan",441,648
26145,"Saginaw County, Michigan",539,704
26147,"St. Clair County, Michigan",541,732
26149,"St. Joseph County, Michigan",469,665
26151,"Sanilac County, Michigan",437,630
26153,"Schoolcraft County, Michigan",332,627
26155,"Shiawassee County, Michigan",494,684
26157,"Tuscola County, Michigan",492,631
26159,"Van Buren County, Michigan",483,641
26161,"Washtenaw County, Michigan",825,1030
26163,"Wayne County, Michigan",608,812
26165,"Wexford County, Michigan",402,751
27001,"Aitkin County, Minnesota",420,650
27003,"Anoka County, Minnesota",810,1009
27005,"Becker County, Minnesota",524,656
27007,"Beltrami County, Minnesota",462,731
27009,"Benton County, Minnesota",573,664
27011,"Big Stone County, Minnesota",366,510
27013,"Blue Earth County, Minnesota",609,814
27015,"Brown County, Minnesota",487,633
27017,"Carlton County, Minnesota",458,747
27019,"Carver County, Minnesota",826,966
27021,"Cass County, Minnesota",413,700
27023,"Chippewa County, Minnesota",452,545
27025,"Chisago County, Minnesota",581,794
27027,"Clay County, Minnesota",589,733
27029,"Clearwater County, Minnesota",362,646
27031,"Cook County, Minnesota",672,590
27033,"Cottonwood County, Minnesota",383,597
27035,"Crow Wing County, Minnesota",500,769
27037,"Dakota County, Minnesota",830,1027
27039,"Dodge County, Minnesota",514,637
27041,"Douglas County, Minnesota",534,761
27043,"Faribault County, Minnesota",404,559
27045,"Fillmore County, Minnesota",430,590
27047,"Freeborn County, Minnesota",445,639
27049,"Goodhue County, Minnesota",557,800
27051,"Grant County, Minnesota",446,510
27053,"Hennepin County, Minnesota",831,1109
27055,"Houston County, Minnesota",425,645
27057,"Hubbard County, Minnesota",397,629
27059,"Isanti County, Minnesota",675,855
27061,"Itasca County, Minnesota",505,714
27063,"Jackson County, Minnesota",463,602
27065,"Kanabec County, Minnesota",544,750
27067,"Kandiyohi County, Minnesota",500,690
27069,"Kittson County, Minnesota",404,604
27071,"Koochiching County, Minnesota",426,620
27073,"Lac qui Parle County, Minnesota",400,578
27075,"Lake County, Minnesota",555,683
27077,"Lake of the Woods County, Minnesota",467,694
27079,"Le Sueur County, Minnesota",522,693
27081,"Lincoln County, Minnesota",411,637
27083,"Lyon County, Minnesota",450,625
27085,"McLeod County, Minnesota",538,720
27087,"Mahnomen County, Minnesota",514,545
27089,"Marshall County, Minnesota",449,581
27091,"Martin County, Minnesota",522,585
27093,"Meeker County, Minnesota",502,735
27095,"Mille Lacs County, Minnesota",541,781
27097,"Morrison County, Minnesota",434,648
27099,"Mower County, Minnesota",465,709
27101,"Murray County, Minnesota",437,542
27103,"Nicollet County, Minnesota",643,803
27105,"Nobles County, Minnesota",422,679
27107,"Norman County, Minnesota",441,541
27109,"Olmsted County, Minnesota",663,864
27111,"Otter Tail County, Minnesota",463,682
27113,"Pennington County, Minnesota",497,679
27115,"Pine County, Minnesota",483,725
27117,"Pipestone County, Minnesota",435,544
27119,"Polk County, Minnesota",492,717
27121,"Pope County, Minnesota",450,688
27123,"Ramsey County, Minnesota",772,977
27125,"Red Lake County, Minnesota",404,465
27127,"Redwood County, Minnesota",439,495
27129,"Renville County, Minnesota",514,587
27131,"Rice County, Minnesota",564,839
27133,"Rock County, Minnesota",514,663
27135,"Roseau County, Minnesota",469,666
27137,"St. Louis County, Minnesota",530,777
27139,"Scott County, Minnesota",803,1031
27141,"Sherburne County, Minnesota",608,882
27143,"Sibley County, Minnesota",519,612
27145,"Stearns County, Minnesota",604,772
27147,"Steele County, Minnesota",575,737
27149,"Stevens County, Minnesota",556,635
27151,"Swift County, Minnesota",378,615
27153,"Todd County, Minnesota",348,623
27155,"Traverse County, Minnesota",358,570
27157,"Wabasha County, Minnesota",557,633
27159,"Wadena County, Minnesota",446,588
27161,"Waseca County, Minnesota",453,619
27163,"Washington County, Minnesota",837,1197
27165,"Watonwan County, Minnesota",462,551
27167,"Wilkin County, Minnesota",360,486
27169,"Winona County, Minnesota",546,707
27171,"Wright County, Minnesota",679,859
27173,"Yellow Medicine County, Minnesota",428,570
28001,"Adams County, Mississippi",499,608
28003,"Alcorn County, Mississippi",424,553
28005,"Amite County, Mississippi",225,457
28007,"Attala County, Mississippi",457,498
28009,"Benton County, Mississippi",457,498
28011,"Bolivar County, Mississippi",402,613
28013,"Calhoun County, Mississippi",292,468
28015,"Carroll County, Mississippi",369,394
28017,"Chickasaw County, Mississippi",324,564
28019,"Choctaw County, Mississippi",265,532
28021,"Claiborne County, Mississippi",-,581
28023,"Clarke County, Mississippi",220,605
28025,"Clay County, Mississippi",453,548
28027,"Coahoma County, Mississippi",425,561
28029,"Copiah County, Mississippi",452,586
28031,"Covington County, Mississippi",267,543
28033,"DeSoto County, Mississippi",774,907
28035,"Forrest County, Mississippi",558,691
28037,"Franklin County, Mississippi",387,451
28039,"George County, Mississippi",472,678
28041,"Greene County, Mississippi",381,604
28043,"Grenada County, Mississippi",278,584
